CT435 | P10 | Development | Bind variables in SQL statements - Oleg Test
T305 | P8 | QA | Verify that your application dynamically loads code only from secure locations
T318 | P8 | QA | Verify security of cross origin resource sharing (CORS)
T32 | P7 | Architecture | Always perform input validation on a server
T321 | P7 | QA | Verify that Local and Session Storage are securely used
T323 | P9 | QA | Test that default accounts are disabled or default passwords are changed
T338 | P7 | Stories | Control access to resources through user authentication and authorization
T340 | P7 | Architecture | Use an account and identity management system
T349 | P7 | Stories | Protect audit information and logs against unauthorized access
T35 | P9 | Stories | Fine-tune HTTP server settings
T350 | P7 | QA | Verify that audit information is sufficiently protected
T36 | P8 | Development | Escape untrusted data in HTML, HTML attributes, CSS, and JavaScript
T364 | P6 | Stories | Enable secure backup and restore capabilities
T365 | P6 | QA | Verify the security of backing up and restoring procedures
T37 | P8 | Development | Avoid DOM-based Cross-Site Scripting (XSS)
T370 | P6 | Architecture | Follow best practices for using third-party software libraries/modules and open source/COTS components
T373 | P8 | Architecture | Design and regulate access to unauthenticated parts of the application
T374 | P7 | Stories | Offload HTTP request handling to dedicated modules
T375 | P6 | Development | Release resources when no longer needed
T378 | P8 | Development | Authorize every request for data objects
T38 | P10 | Development | Bind variables in SQL statements
T3900 | P8 | Development | Implement and use code change management strategy (GitHub)
T3901 | P8 | Development | Enforce repository management and security strategies (GitHub)
T3902 | P8 | Development | Ensure regular review and inactive users removal (GitHub)
T3903 | P8 | Development | Implement application and webhook security strategies (GitHub)
T3905 | P8 | Development | Ensure pipeline efficiency and security (GitHub)
T3906 | P8 | Development | Implement secure build worker management (GitHub)
T3907 | P8 | Development | Ensure pipeline definition and security (GitHub)
T3908 | P8 | Development | Enforce artifact signing (GitHub)
T3909 | P8 | Development | Ensure third-party artifact security (GitHub)
T3910 | P8 | Development | Implement dependency management strategy (GitHub)
T3912 | P8 | Development | Enforce artifact certification and uploading rules (GitHub)
T3913 | P8 | Development | Implement package registry security (GitHub)
T3914 | P8 | Development | Implement artifact origin information policy (GitHub)
T3915 | P8 | Deployment | Enforce separation of deployment configuration files (GitHub)
T3916 | P8 | Deployment | Ensure automated and secure deployment (GitHub)
T3917 | P8 | QA | Test code change management strategies (GitHub)
T3918 | P8 | QA | Test repository management and security strategies (GitHub)
T3919 | P8 | QA | Test regular review and inactive users removal (GitHub)
T3920 | P8 | QA | Test application and webhook security strategies (GitHub)
T3922 | P8 | QA | Test pipeline efficiency and security (GitHub)
T3923 | P8 | QA | Test secure build worker management (GitHub)
T3924 | P8 | QA | Test pipeline definition and security (GitHub)
T3925 | P8 | QA | Test artifact signing (GitHub)
T3926 | P8 | QA | Test third-party artifact security (GitHub)
T3927 | P8 | QA | Test dependency management strategy (GitHub)
T3929 | P8 | QA | Test artifact certification and uploading rules (GitHub)
T3930 | P8 | QA | Test package registry security (GitHub)
T3931 | P8 | QA | Test artifact origin information policy (GitHub)
T3932 | P8 | QA | Test separation of deployment configuration files (GitHub)
T3933 | P8 | QA | Test automated and secure deployment (GitHub)
T394 | P7 | Stories | Secure one-time passwords (OTP)
T395 | P7 | QA | Verify that one-time passwords (OTP) are securely used
T3990 | P6 | Deployment | Schedule regular backups
T42 | P10 | Development | Avoid relying on untrusted data for server-side selection
T420 | P6 | Development | Prevent Client-Side Template Injection (CSTI)
T421 | P6 | QA | Verify if web page template is vulnerable to client side template injection (CSTI)
T445 | P8 | QA | Verify that only approved cryptographic algorithms and key lengths are used
T4455 | P7 | Stories | Prevent prompt injection in Large Language Models (Project Manager)
T4456 | P7 | Architecture | Prevent prompt injection in Large Language Models (MLOps Engineer)
T4457 | P7 | Development | Prevent prompt injection in Large Language Models (AI/ML Developer)
T4458 | P7 | Development | Prevent prompt injection in Large Language Models (Data Scientist)
T4459 | P7 | Deployment | Prevent prompt injection in Large Language Models (QA Analyst)
T446 | P8 | QA | Verify that only standard libraries are used for cryptography
T4460 | P7 | Development | Handle insecure output in Large Language Models (AI/ML Developer)
T4461 | P7 | Architecture | Handle insecure output in Large Language Models (MLOps Engineer)
T4462 | P7 | Stories | Prevent training data poisoning in Large Language Models (Project Manager)
T4463 | P7 | Architecture | Prevent training data poisoning in Large Language Models (MLOps Engineer)
T4464 | P7 | Development | Prevent training data poisoning in Large Language Models (Data Scientist)
T4465 | P7 | Development | Prevent training data poisoning in Large Language Models (AI/ML Developer)
T4466 | P7 | Stories | Prevent Large Language Model denial of service (Project Manager)
T4467 | P7 | Architecture | Prevent Large Language Model denial of service (MLOps Engineer)
T4468 | P7 | Development | Prevent Large Language Models denial of service (AI/ML Developer)
T4469 | P7 | Deployment | Prevent Large Language Model denial of service (QA Analyst)
T4470 | P8 | Stories | Protect Large Language Models against supply chain vulnerabilities (Project Manager)
T4471 | P8 | Architecture | Protect Large Language Models against supply chain vulnerabilities (MLOps Engineer)
T4472 | P8 | Development | Protect Large Language Models against supply chain vulnerabilities (AI/ML Developer)
T4473 | P8 | Development | Protect Large Language Models against supply chain vulnerabilities (Data Scientist)
T4474 | P7 | Stories | Prevent sensitive information disclosure in Large Language Models (Project Manager)
T4475 | P7 | Architecture | Prevent sensitive information disclosure in Large Language Models (MLOps Engineer)
T4476 | P7 | Development | Prevent sensitive information disclosure in Large Language Models (AI/ML Developer)
T4477 | P7 | Development | Prevent sensitive information disclosure in Large Language Models (Data Scientist)
T4478 | P6 | Stories | Design secure plugins for Large Language Models (Project Manager)
T4479 | P6 | Development | Design secure plugins for Large Language Models (AI/ML Developer)
T4480 | P6 | Architecture | Design secure plugins for Large Language Models (MLOps Engineer)
T4481 | P6 | Deployment | Design secure plugins for Large Language Models (QA Analyst)
T4482 | P7 | Stories | Mitigate excessive agency in Large Language Models (Project Manager)
T4483 | P7 | Architecture | Mitigate excessive agency in Large Language Models (MLOps Engineer)
T4484 | P7 | Development | Mitigate excessive agency in Large Language Models (AI/ML Developer)
T4485 | P7 | Deployment | Mitigate excessive agency in Large Language Models (QA Analyst)
T4486 | P6 | Stories | Mitigate overreliance in Large Language Models (Project Manager)
T4487 | P6 | Architecture | Mitigate overreliance in Large Language Models (MLOps Engineer)
T4488 | P6 | Development | Mitigate overreliance in Large Language Models (AI/ML Developer)
T4489 | P6 | Development | Mitigate overreliance in Large Language Models (Data Scientist)
T4490 | P6 | Deployment | Mitigate overreliance in Large Language Models (QA Analyst)
T4491 | P7 | Stories | Prevent model theft in Large Language Models (Project Manager)
T4492 | P7 | Architecture | Prevent model theft in Large Language Models (MLOps Engineer)
T4493 | P7 | Development | Prevent model theft in Large Language Models (AI/ML Developer)
T4494 | P7 | Development | Prevent model theft in Large Language Models (Data Scientist)
T4495 | P7 | Deployment | Prevent model theft in Large Language Models (QA Analyst)
T456 | P6 | Deployment | Change default security settings to the most stringent ones and disable unnecessary services and modules
T457 | P6 | QA | Verify that unnecessary services and capabilities are disabled
T4597 | P6 | Development | Break and inspect SSL/TLS sessions
T4600 | P10 | Architecture | Establish Out-of-Band Communications Channel
T4601 | P8 | Deployment | Prioritize static network configuration
T4746 | P10 | Development | Ensure container images are secure
T4747 | P10 | Deployment | Limit container privileges
T4748 | P10 | Deployment | Implement Role-Based Access Control (RBAC) for container orchestration
T4749 | P10 | Deployment | Monitor containers in real-time
T4750 | P10 | Architecture | Isolate container networks
T4751 | P10 | Development | Reduce the attack surface of container images
T4830 | P8 | Architecture | Ensure aligned training of generative AI models
T4833 | P8 | QA | Test fine-tuning alignement of generative AI models
T4834 | P8 | Architecture | Implement protection against system prompt leakage
T4835 | P8 | Architecture | Implement defenses against vector and embedding weaknesses
T4836 | P8 | Architecture | Implement verification and fact-checking to mitigate misinformation
T4837 | P8 | QA | Test effectiveness of protections against system prompt leakage
T4838 | P8 | QA | Test effectiveness of defenses against vector and embedding weaknesses
T4839 | P8 | QA | Test effectiveness of misinformation mitigatation
T49 | P7 | Stories | Disable and remove debug capabilities and code/data, and prepare application for release
T50 | P8 | Stories | Use indirect object reference maps if accessing files
T517 | P6 | Stories | Protect user registration and account modification pages against user enumeration
T518 | P6 | QA | Test that registration and account modification pages are protected against user enumeration
T536 | P8 | Stories | Restrict the size of incoming messages in services
T537 | P8 | QA | Test that the size of incoming messages in services is restricted
T54 | P6 | Stories | Validate file contents
T544 | P8 | Stories | Anonymize (de-identify) identifying information before using it for a secondary purpose
T545 | P8 | QA | Verify that personal information is anonymized before being reused for secondary purposes
T553 | P6 | Architecture | Design secure RESTful web services
T554 | P6 | QA | Verify that REST web services are securely designed
T558 | P9 | Stories | Authenticate all other components before any network communication with them
T572 | P6 | Development | Check for symlinks before opening files
T573 | P8 | Stories | Prevent UDDI/ebXML spoofing
T576 | P8 | QA | Verify that UDDI/ebXML spoofing is prevented
T587 | P7 | QA | Verify that cryptographically secure algorithms are used for random number generation
T589 | P9 | QA | Verify that all the components are authenticated explicitly
T59 | P8 | Stories | Use standard libraries for cryptography
T595 | P6 | QA | Test that your application checks for symlinks before opening files
T60 | P8 | Stories | Use correct and approved cryptographic algorithms, parameters, and key lengths
T604 | P10 | Stories | Implement a consent withdrawal mechanism
T605 | P10 | QA | Verify if consent is obtained prior to personal information collection (where applicable)
T61 | P9 | Deployment | Disable default accounts or change all default passwords
T62 | P6 | Stories | Protect passwords in property and configuration files
T65 | P6 | Stories | Restrict accepted HTTP verbs
T66 | P7 | Development | Prevent web pages from being loaded inside iFrame
T69 | P8 | Stories | Strong password requirements for server-to-server system accounts
T7 | P6 | Stories | Salt and hash stored passwords
T70 | P8 | Stories | Implement account lockout or authentication throttling for system accounts
T742 | P7 | Stories | Implement technical measures to ensure the accuracy of personal information
T743 | P7 | QA | Verify accuracy of personal information
T744 | P8 | Stories | Protect pseudonymized personal information
T745 | P8 | QA | Verify if pseudonymized personal information is protected
T754 | P8 | Stories | Enable the restriction of processing personal information of an individual for a specific purpose
T755 | P10 | Stories | Maintain a Data Processing Register or Record of Business Processing Activities
T756 | P10 | QA | Verify if personal data processing activities are recorded and maintained
T757 | P8 | QA | Verify if personal information processing stops when user objects to it
T76 | P10 | Development | Do not hardcode passwords
T78 | P9 | QA | Test strength of password reset mechanism
T79 | P6 | QA | Test password change functions
T84 | P6 | QA | Test page-level authorization
T85 | P8 | QA | Test server-side enforcement of authorization
T87 | P8 | QA | Verify that all data in transit is encrypted using a secure TLS channel
T89 | P8 | QA | Test that site is not vulnerable to XSS
T93 | P6 | QA | Test that sessions expire upon logout
T94 | P6 | QA | Test that session IDs are not leaked through URLs
T96 | P7 | QA | Test if your site is vulnerable to CSRF
T98 | P7 | QA | Test for input validation on a server
